Time (min),Cumulative Depth (in),Intensity (in/hr)
0,0.0,0.0
15,0.00275,0.010999999999999985
30,0.0055,0.010999999999999985
45,0.00825,0.011000000000000038
60,0.011,0.010999999999999933
75,0.01375,0.011000000000000038
90,0.0165,0.011000000000000038
105,0.01925,0.011000000000000038
120,0.022,0.01099999999999983
135,0.025249999999999998,0.013000000000000025
150,0.028499999999999998,0.012999999999999817
165,0.03175,0.013000000000000234
180,0.035,0.013000000000000234
195,0.03825,0.012999999999999817
210,0.041499999999999995,0.012999999999999401
225,0.04475,0.012999999999999817
240,0.048,0.013000000000000234
255,0.052000000000000005,0.01600000000000032
270,0.056,0.015999999999999903
285,0.06,0.015999999999999903
300,0.064,0.015999999999999903
315,0.068,0.015999999999999903
330,0.07200000000000001,0.015999999999999903
345,0.076,0.015999999999999903
360,0.08,0.015999999999999903
375,0.0845,0.018000000000000516
390,0.089,0.017999999999999683
405,0.0935,0.017999999999999683
420,0.098,0.017999999999999683
435,0.10350000000000001,0.022000000000000075
450,0.109,0.022000000000000075
465,0.11449999999999999,0.021999999999999242
480,0.12,0.022000000000000075
495,0.1265,0.026000000000000467
510,0.133,0.026000000000000467
525,0.14,0.028000000000000247
540,0.147,0.028000000000000247
555,0.155,0.031999999999999806
570,0.163,0.031999999999999806
585,0.172,0.035999999999999366
600,0.181,0.035999999999999366
615,0.1925,0.046000000000001595
630,0.204,0.04599999999999993
645,0.21949999999999997,0.06199999999999983
660,0.235,0.06199999999999983
675,0.259,0.09600000000000275
690,0.283,0.09599999999999942
705,0.357,0.2960000000000007
720,0.663,1.2239999999999984
735,0.6990000000000001,0.14400000000000412
750,0.735,0.14399999999999746
765,0.7535000000000001,0.07400000000000517
780,0.772,0.07399999999999851
795,0.78325,0.045000000000001705
810,0.7945,0.044999999999995044
825,0.806875,0.05249999999999755
840,0.82,0.05249999999999755
855,0.8274999999999999,0.029999999999996696
870,0.835,0.029999999999996696
885,0.8425,0.030000000000003357
900,0.85,0.030000000000003357
915,0.8574999999999999,0.029999999999996696
930,0.865,0.029999999999996696
945,0.8725,0.030000000000003357
960,0.88,0.030000000000003357
975,0.8845,0.017999999999998018
990,0.889,0.017999999999998018
1005,0.8935,0.017999999999998018
1020,0.898,0.01800000000000468
1035,0.9025,0.017999999999998018
1050,0.907,0.01800000000000468
1065,0.9115,0.017999999999998018
1080,0.9159999999999999,0.017999999999998018
1095,0.9205,0.017999999999998018
1110,0.9249999999999999,0.017999999999998018
1125,0.9295,0.017999999999998018
1140,0.9339999999999999,0.017999999999998018
1155,0.9385,0.01800000000000468
1170,0.943,0.017999999999998018
1185,0.9475,0.01800000000000468
1200,0.952,0.017999999999998018
1215,0.955,0.011999999999998678
1230,0.958,0.011999999999998678
1245,0.961,0.011999999999998678
1260,0.964,0.011999999999998678
1275,0.967,0.011999999999998678
1290,0.97,0.011999999999998678
1305,0.973,0.011999999999998678
1320,0.976,0.011999999999998678
1335,0.979,0.011999999999998678
1350,0.982,0.011999999999998678
1365,0.985,0.011999999999998678
1380,0.988,0.011999999999998678
1395,0.991,0.011999999999998678
1410,0.994,0.011999999999998678
1425,0.997,0.011999999999998678
1440,1.0,0.011999999999998678
