Time (min),Cumulative Depth (in),Intensity (in/hr)
0,0.0,0.0
30,0.0055,0.010999999999999985
60,0.011,0.010999999999999933
90,0.0165,0.011000000000000038
120,0.022,0.01099999999999983
150,0.028499999999999998,0.012999999999999817
180,0.035,0.013000000000000234
210,0.041499999999999995,0.012999999999999401
240,0.048,0.013000000000000234
270,0.056,0.015999999999999903
300,0.064,0.015999999999999903
330,0.07200000000000001,0.015999999999999903
360,0.08,0.015999999999999903
390,0.089,0.017999999999999683
420,0.098,0.017999999999999683
450,0.109,0.022000000000000075
480,0.12,0.022000000000000075
510,0.133,0.026000000000000467
540,0.147,0.028000000000000247
570,0.163,0.031999999999999806
600,0.181,0.035999999999999366
630,0.204,0.04599999999999993
660,0.235,0.06199999999999983
690,0.283,0.09599999999999942
720,0.663,1.2239999999999984
750,0.735,0.14399999999999746
780,0.772,0.07399999999999851
810,0.7945,0.044999999999995044
840,0.82,0.05249999999999755
870,0.835,0.029999999999996696
900,0.85,0.030000000000003357
930,0.865,0.029999999999996696
960,0.88,0.030000000000003357
990,0.889,0.017999999999998018
1020,0.898,0.01800000000000468
1050,0.907,0.01800000000000468
1080,0.9159999999999999,0.017999999999998018
1110,0.9249999999999999,0.017999999999998018
1140,0.9339999999999999,0.017999999999998018
1170,0.943,0.017999999999998018
1200,0.952,0.017999999999998018
1230,0.958,0.011999999999998678
1260,0.964,0.011999999999998678
1290,0.97,0.011999999999998678
1320,0.976,0.011999999999998678
1350,0.982,0.011999999999998678
1380,0.988,0.011999999999998678
1410,0.994,0.011999999999998678
1440,1.0,0.011999999999998678
