# HYDROGRAPH FILE
# Filename=unit_sta08057320_1975_0527.dat
# site=08057320 Ash Creek at Highland Road at Dallas, Texas
# latitude=32()48'18"
# longitude=96()43'04"
# drainage_area(mi2)=6.92
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# RUNOFF=runoff in cubic feet per second
# ACCUM_RUNOFF=accumulated runoff in inches
DATE_TIME    HOURS_PASSED    RUNOFF    ACCUM_RUNOFF
05/27/1975@00:00:00    0.0000    0.5000    0.0012
05/27/1975@21:00:00    21.0000    0.5000    0.0024
05/27/1975@21:15:00    21.2500    3.0000    0.0026
05/27/1975@21:30:00    21.5000    55.0000    0.0056
05/27/1975@21:45:00    21.7500    164.0000    0.0148
05/27/1975@22:00:00    22.0000    720.0000    0.0551
05/27/1975@22:15:00    22.2500    3450.0000    0.2480
05/27/1975@22:30:00    22.5000    5140.0000    0.5355
05/27/1975@22:45:00    22.7500    5230.0000    0.8280
05/27/1975@23:00:00    23.0000    3860.0000    1.0438
05/27/1975@23:15:00    23.2500    2460.0000    1.1814
05/27/1975@23:30:00    23.5000    1560.0000    1.2686
05/27/1975@23:45:00    23.7500    1110.0000    1.3307
05/28/1975@00:00:00    24.0000    875.0000    1.3796
05/28/1975@00:15:00    24.2500    620.0000    1.4143
05/28/1975@00:30:00    24.5000    470.0000    1.4406
05/28/1975@00:45:00    24.7500    350.0000    1.4602
05/28/1975@01:00:00    25.0000    257.0000    1.4817
05/28/1975@01:30:00    25.5000    165.0000    1.5002
05/28/1975@02:00:00    26.0000    125.0000    1.5142
05/28/1975@02:30:00    26.5000    98.0000    1.5251
05/28/1975@03:00:00    27.0000    78.0000    1.5339
05/28/1975@03:30:00    27.5000    61.0000    1.5407
05/28/1975@04:00:00    28.0000    49.0000    1.5462
05/28/1975@04:30:00    28.5000    40.0000    1.5506
05/28/1975@05:00:00    29.0000    32.0000    1.5542
05/28/1975@05:30:00    29.5000    27.0000    1.5572
05/28/1975@06:00:00    30.0000    22.0000    1.5597
05/28/1975@06:30:00    30.5000    19.0000    1.5618
05/28/1975@07:00:00    31.0000    16.0000    1.5636
05/28/1975@07:30:00    31.5000    14.0000    1.5652
05/28/1975@08:00:00    32.0000    12.0000    1.5672
05/28/1975@09:00:00    33.0000    12.0000    1.5699
05/28/1975@10:00:00    34.0000    11.0000    1.5736
05/28/1975@12:00:00    36.0000    11.0000    1.5773
05/28/1975@13:00:00    37.0000    11.0000    1.5803
05/28/1975@14:30:00    38.5000    11.0000    1.5825
05/28/1975@14:45:00    38.7500    11.0000    1.5831
05/28/1975@15:00:00    39.0000    11.0000    1.5840
05/28/1975@15:30:00    39.5000    11.0000    1.5853
05/28/1975@16:00:00    40.0000    11.0000    1.5862
05/28/1975@16:15:00    40.2500    10.0000    1.5867
05/28/1975@16:30:00    40.5000    10.0000    1.5873
05/28/1975@16:45:00    40.7500    10.0000    1.5879
05/28/1975@17:00:00    41.0000    10.0000    1.5893
05/28/1975@18:00:00    42.0000    10.0000    1.5926
05/28/1975@20:00:00    44.0000    10.0000    1.5951
05/28/1975@20:15:00    44.2500    10.0000    1.5996
05/29/1975@00:00:00    48.0000    9.0000    1.6034
